sid,grp,ntm,pc_coef,rlp_coef,A3minusA4,A3minusA1,aic_diff
54,0,2,-0.5514161169173514,0.3590381068225924,-73.0,65.0,68.44722297846602
55,0,3,1.1380459907090466,1.3160478503066175,21.0,-42.0,93.70264478080458
56,0,3,-0.8262460567232579,-0.42256488636189793,-176.0,-6.0,257.46238186230585
57,0,2,1.0195512852895308,-0.19318029127253844,-1.0,-135.0,181.0407511881665
58,0,2,0.4887569370130946,-0.23323403083861088,-13.0,-145.0,37.225165215949346
59,0,2,1.475309573237793,0.21905533877882638,0.0,-158.0,215.3443991084585
60,0,3,0.6902855759141874,-1.6198949380053664,-31.0,-31.0,210.50711560878761
61,0,3,-1.1769452889214822,-0.38902540320302414,-79.0,7.0,111.8900757633719
62,0,2,0.2978473666180383,-0.37754250699620745,45.0,-22.0,8.556118376674817
63,0,3,-3.6469636510592545,-2.006389448264987,-146.0,13.0,247.41653372695612
64,0,3,0.5633698963688067,-0.3326344326503253,-30.0,-138.0,33.130969925914656
65,0,3,0.3944880756349691,0.8281746830623544,42.0,36.0,55.092662255625214
66,0,3,-0.5826257673699872,0.09460005980627906,-65.0,83.0,213.04966428675692
67,0,2,-0.1887720858600332,0.07408694584669397,-21.0,-31.0,5.486080699809122
68,0,3,-0.5859570642494135,0.06632521236589532,27.0,129.0,194.62785107474735
69,0,1,0.35449635709400457,-0.6021174328222456,6.0,-52.0,52.76991564630248
70,0,2,-1.7085349798979323,-0.6933834068008851,-80.0,36.0,123.89616336561619
71,0,2,0.8268948980940876,-0.6544553003774983,4.0,-17.0,284.08344299436726
72,0,1,0.5898501621753853,0.8716912598120904,-23.0,49.0,153.73138971774188
73,0,2,0.978546864212741,-0.8354357579168834,87.0,-76.0,377.118923032284
74,0,1,1.330861906780843,0.3495433459882956,51.0,-127.0,346.4914888782573
75,0,2,-0.7083446019581929,-0.39785847783526246,-27.0,83.0,63.61070939159288
76,0,1,-0.9852258901103029,-0.30390670480967996,-109.0,39.0,59.260886537051874
77,0,1,0.7452121066722548,-0.6734797524352842,-18.0,19.0,323.6953125497732
79,0,2,-0.4338692875787431,-0.5609853083786639,-46.0,-2.0,32.54821704341998
80,0,3,0.1643183685846083,0.1606040874689066,103.0,70.0,18.477554468875155
81,0,2,-0.24879306014449334,0.14524676728463815,-64.0,7.0,21.547893106731408
82,0,2,1.491138760627354,1.24322480723302,82.0,42.0,95.04606750326616
83,0,2,1.0149925108775424,-0.87191611735255,19.0,-109.0,142.50908944501316
84,0,3,-0.5891814544262498,0.5108758994975012,132.0,169.0,234.23505170690458
85,0,1,0.7462614653254296,1.0791564943904612,37.0,-86.0,195.07250822247636
