,sid,grp,cnd,fam,tid,tord,pc_grand,pc_first,pc_last,dpc,alltime,freetime,nblocks,avstreak,lrn,int,comp,time,prog,rule,lrn2,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2,lp1,lp2,lp3,ntm,good_ord
701,190,S,i-,Bunny,2_I1D,3,0.5123456790123457,0.4,0.8,0.4,0.5225806451612903,0.588,2,73.5,7,10,8,10,10,10,1,1.5357142857142856,4.535714285714286,2.5357142857142856,4.535714285714286,4.535714285714286,4.535714285714286,-4.464285714285714,0,250,44,2,False
702,190,S,i-,Squid,3_2D,4,0.76,0.7333333333333333,1.0,0.2666666666666667,0.24193548387096775,0.24,1,60.0,7,1,10,7,6,1,1,1.5357142857142856,-4.464285714285714,4.535714285714286,1.5357142857142856,0.5357142857142856,-4.464285714285714,-4.464285714285714,0,250,44,2,False
703,190,S,i-,Green,4_R,2,0.6481481481481481,0.7333333333333333,0.6666666666666666,0.0,0.17419354838709677,0.156,1,39.0,7,7,8,7,6,1,1,1.5357142857142856,1.5357142857142856,2.5357142857142856,1.5357142857142856,0.5357142857142856,-4.464285714285714,-4.464285714285714,0,250,44,2,False
704,191,S,i-,Green,1_1D,3,0.6764705882352942,0.5333333333333333,0.8666666666666667,0.33333333333333337,0.10967741935483871,0.076,1,19.0,5,10,1,1,10,10,1,-1.2857142857142856,3.7142857142857144,-5.285714285714286,-5.285714285714286,3.7142857142857144,3.7142857142857144,-5.285714285714286,132,250,229,2,False
705,191,S,i-,Bunny,2_I1D,4,0.5638297872340425,0.5333333333333333,0.6666666666666666,0.1333333333333333,0.3032258064516129,0.316,2,39.5,6,10,1,5,10,10,1,-0.2857142857142856,3.7142857142857144,-5.285714285714286,-1.2857142857142856,3.7142857142857144,3.7142857142857144,-5.285714285714286,132,250,229,2,False
706,191,S,i-,Squid,3_2D,1,0.61,0.4666666666666667,0.6,0.1333333333333333,0.3225806451612903,0.34,2,42.5,8,8,8,8,5,10,6,1.7142857142857144,1.7142857142857144,1.7142857142857144,1.7142857142857144,-1.2857142857142856,3.7142857142857144,-0.2857142857142856,132,250,229,2,False
707,191,S,i-,Bear,4_R,2,0.4024390243902439,0.4,0.4666666666666667,0.06666666666666665,0.2645161290322581,0.268,1,67.0,9,3,10,10,3,1,6,2.7142857142857144,-3.2857142857142856,3.7142857142857144,3.7142857142857144,-3.2857142857142856,-5.285714285714286,-0.2857142857142856,132,250,229,2,False
708,192,S,i-,Bunny,1_1D,2,0.7575757575757576,0.6,0.9333333333333333,0.33333333333333337,0.2129032258064516,0.204,1,51.0,9,7,2,2,10,10,1,2.678571428571429,0.6785714285714288,-4.321428571428571,-4.321428571428571,3.678571428571429,3.678571428571429,-5.321428571428571,35,66,102,3,True
709,192,S,i-,Green,2_I1D,4,0.7543859649122807,0.26666666666666666,1.0,0.7333333333333334,0.18387096774193548,0.168,2,21.0,9,7,2,2,10,10,1,2.678571428571429,0.6785714285714288,-4.321428571428571,-4.321428571428571,3.678571428571429,3.678571428571429,-5.321428571428571,35,66,102,3,True
710,192,S,i-,Bear,3_2D,1,0.6274509803921569,0.3333333333333333,0.7333333333333333,0.39999999999999997,0.32903225806451614,0.348,3,29.0,9,7,6,6,8,8,8,2.678571428571429,0.6785714285714288,-0.3214285714285712,-0.3214285714285712,1.6785714285714288,1.6785714285714288,1.6785714285714288,35,66,102,3,True
