sid,grp,tid,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2,lrn,int,comp,time,prog,rule,lrn2
274,1,1,-1.9642857142857144,-1.9642857142857144,-4.964285714285714,-3.9642857142857144,3.0357142857142856,3.0357142857142856,-5.964285714285714,5,5,2,3,10,10,1
274,1,2,-0.9642857142857144,-1.9642857142857144,-4.964285714285714,-3.9642857142857144,3.0357142857142856,3.0357142857142856,-5.964285714285714,6,5,2,3,10,10,1
274,1,3,3.0357142857142856,3.0357142857142856,2.0357142857142856,2.0357142857142856,0.03571428571428559,-0.9642857142857144,3.0357142857142856,10,10,9,9,7,6,10
274,1,4,3.0357142857142856,3.0357142857142856,3.0357142857142856,2.0357142857142856,0.03571428571428559,-1.9642857142857144,3.0357142857142856,10,10,10,9,7,5,10
275,1,1,-1.6785714285714288,-3.678571428571429,-4.678571428571429,-4.678571428571429,0.3214285714285712,4.321428571428571,-4.678571428571429,4,2,1,1,6,10,1
275,1,2,0.3214285714285712,1.3214285714285712,-0.6785714285714288,-1.6785714285714288,3.321428571428571,4.321428571428571,-4.678571428571429,6,7,5,4,9,10,1
275,1,3,-0.6785714285714288,1.3214285714285712,0.3214285714285712,0.3214285714285712,4.321428571428571,4.321428571428571,-4.678571428571429,5,7,6,6,10,10,1
275,1,4,2.321428571428571,4.321428571428571,4.321428571428571,3.321428571428571,-2.678571428571429,-4.678571428571429,0.3214285714285712,8,10,10,9,3,1,6
276,1,1,1.75,1.75,-7.25,0.75,1.75,1.75,1.75,10,10,1,9,10,10,10
276,1,2,1.75,1.75,-5.25,0.75,1.75,1.75,1.75,10,10,3,9,10,10,10
276,1,3,1.75,-0.25,1.75,1.75,-3.25,-7.25,1.75,10,8,10,10,5,1,10
276,1,4,1.75,-0.25,1.75,1.75,-2.25,-7.25,1.75,10,8,10,10,6,1,10
277,1,1,-1.6428571428571432,-4.642857142857143,-4.642857142857143,-4.642857142857143,4.357142857142857,4.357142857142857,-4.642857142857143,4,1,1,1,10,10,1
277,1,2,1.3571428571428568,-4.642857142857143,-4.642857142857143,-3.6428571428571432,3.3571428571428568,3.3571428571428568,-3.6428571428571432,7,1,1,2,9,9,2
277,1,3,2.3571428571428568,4.357142857142857,1.3571428571428568,3.3571428571428568,-2.6428571428571432,-2.6428571428571432,2.3571428571428568,8,10,7,9,3,3,8
277,1,4,1.3571428571428568,4.357142857142857,4.357142857142857,1.3571428571428568,-1.6428571428571432,-2.6428571428571432,4.357142857142857,7,10,10,7,4,3,10
278,1,1,-1.5714285714285712,0.4285714285714288,-5.571428571428571,-5.571428571428571,3.428571428571429,3.428571428571429,-5.571428571428571,5,7,1,1,10,10,1
