sid,group,nam,progressive,dwipc,dwfpc,sc_flat,sc_lep,sc_streaks
39,0,2,False,0.7333333333333332,0.7333333333333332,0.5928000000000001,0.40848371049551296,0.4485374579124576
41,0,2,False,0.7555555555555555,0.7666666666666666,0.32160634920634923,0.2169065738928753,0.42431071243571244
42,0,2,False,0.5333333333333333,0.7444444444444445,0.36652063492063497,0.39168122906654973,0.439293680435137
43,0,3,True,0.6444444444444444,0.8444444444444443,0.4151363636363637,0.44260378972807446,0.4431794102856442
45,0,3,False,0.6888888888888889,0.7999999999999998,0.4701,0.45721090623213273,0.34451785239958055
46,0,2,False,0.7,0.6444444444444444,0.19688888888888886,0.23622402890695585,0.4377537284109668
47,0,3,False,0.8333333333333333,0.7444444444444445,0.4532722610722611,0.4716707320145013,0.46869085657049214
48,0,1,True,0.5888888888888888,0.7333333333333332,0.4047476190476191,0.405799388028303,0.5058716199741545
49,0,2,True,0.5222222222222221,0.8444444444444443,0.32439090909090906,0.2264910532753356,0.3323165810874327
50,0,2,True,0.5555555555555556,0.5333333333333333,0.3199424242424243,0.3304787457912461,0.4252493214674125
51,0,1,False,0.43333333333333324,0.6888888888888889,0.13507692307692304,0.06863664790494053,0.27264553560100113
52,0,1,True,0.24444444444444444,0.5777777777777777,0.24165274725274724,0.29886164237190105,0.32107354212698175
53,0,1,False,0.5666666666666667,0.6666666666666666,0.5372142857142858,0.5383598953231182,0.5718199452863718
54,0,1,True,0.6666666666666666,0.7222222222222221,0.11736363636363636,0.25787959812023986,0.35992212059790835
55,0,2,True,0.6222222222222222,0.6444444444444444,0.5604095238095239,0.5742599018914809,0.4199715973133893
56,0,2,False,0.7222222222222221,0.8444444444444444,0.2903787878787879,0.2953938422688424,0.5188573598501702
57,0,3,False,0.711111111111111,0.7222222222222221,0.6043333333333334,0.6245206245206244,0.5534814806277788
58,0,2,True,0.4666666666666667,0.7444444444444445,0.4926230769230769,0.4400559613587784,0.544255407417237
59,0,2,False,0.5555555555555556,0.6,0.3420000000000001,0.23205593348450482,0.4037191897865571
60,0,3,True,0.8444444444444443,0.8222222222222222,0.06844444444444443,0.18429705215419498,0.19422022919780765
61,0,2,True,0.5999999999999999,0.6777777777777778,0.4514,0.36952054239441906,0.4499591836734694
62,0,3,True,0.6666666666666665,0.9555555555555555,0.3703365079365079,0.3440059504404447,0.33531953151631017
63,0,1,True,0.5111111111111111,0.5888888888888888,0.41746031746031753,0.24663040503557768,0.4570371521089225
64,0,2,True,0.6333333333333333,0.7555555555555555,0.35913492063492064,0.4234720467109181,0.5394026510264394
65,0,3,True,0.45555555555555555,0.8666666666666667,0.5555999999999999,0.3743259803921568,0.47802215253252756
66,0,2,False,0.5,0.8777777777777778,0.4556464646464647,0.4546007155319746,0.44162029595926294
67,0,3,True,0.6222222222222222,0.7777777777777777,0.2718675324675324,0.2580048655324189,0.3681386670010833
68,0,3,True,0.6888888888888889,0.9222222222222222,0.5822303030303031,0.3294512956267218,0.2943571463698211
69,0,2,False,0.4888888888888888,0.6666666666666665,0.3185575757575757,0.3103410722975941,0.3974516204683444
72,0,2,True,0.7111111111111111,0.7333333333333332,0.403,0.4150898920688819,0.49950421143349705
73,0,2,True,0.5111111111111111,0.7,0.12810000000000002,0.16524211894702628,0.34431711145996863
74,0,3,True,0.7444444444444445,0.8222222222222222,0.18986666666666666,0.26609473241190157,0.2427619753657387
75,0,3,False,0.8222222222222222,0.8444444444444444,0.5789474747474748,0.5936896563608892,0.5392762221829208
77,0,2,False,0.45555555555555555,0.6777777777777777,0.5073333333333334,0.4962132003798672,0.5382964413136826
78,0,3,False,0.7777777777777778,0.9333333333333331,0.5322606060606061,0.4543507109066158,0.25817880485527545
