,sid,grp,tid,pc1
161,175,1,1,0.9714901000182868
798,175,1,3,0.6293817854958789
799,176,1,3,0.8093279382886597
1116,176,1,4,0.33723648468311274
478,176,1,2,0.5979451464659838
162,176,1,1,0.8608805313694396
800,177,1,3,0.46432382432382435
479,177,1,2,0.27239341300759984
1117,177,1,4,0.6781268334839764
163,177,1,1,0.9742150329710971
480,178,1,2,0.3535454021158692
164,178,1,1,0.5939184765594108
1118,178,1,4,0.7131488731740583
801,178,1,3,0.17818275900525193
802,179,1,3,0.6053911596532273
1119,179,1,4,0.2875046049267883
481,179,1,2,0.6533658076671537
165,180,1,1,0.5729725589302788
482,180,1,2,0.6663343983203049
803,180,1,3,0.4452774337670824
1120,181,1,4,0.5540110386734158
166,181,1,1,0.9673826173826173
804,181,1,3,0.3416730710234412
483,181,1,2,0.7254608132299342
1121,182,1,4,0.2704468333568885
167,182,1,1,0.9386950062231931
805,182,1,3,0.3980052749153301
484,182,1,2,0.6554183520029127
168,183,1,1,0.2797667503328696
1122,183,1,4,0.6039654344757859
806,183,1,3,0.27623099123099126
485,183,1,2,0.6895121545121545
169,184,1,1,0.757653040765788
807,184,1,3,0.6114377258672588
170,185,1,1,0.7023408005495577
486,185,1,2,0.48515938746944265
1123,185,1,4,0.5511371716556129
808,185,1,3,0.5836551780655294
809,186,1,3,0.5953851919710985
1124,186,1,4,0.6668973756594432
171,186,1,1,0.819223764684486
487,186,1,2,0.6024669956042504
810,187,1,3,0.7932136328307281
488,187,1,2,0.8590480719561618
172,187,1,1,0.3047828986137776
1125,187,1,4,0.4073457758316824
811,188,1,3,0.33931410298022224
489,188,1,2,0.5250729469913882
173,188,1,1,0.5433333333333333
1126,188,1,4,0.6804483440580895
1127,189,1,4,0.4142194992097536
174,189,1,1,0.382658148263546
812,190,1,3,0.5144507379759231
490,190,1,2,0.8321061409836481
1128,190,1,4,0.5863274350572776
175,190,1,1,1.0
176,191,1,1,0.6619769551596992
491,191,1,2,0.550996266362076
1129,191,1,4,0.39618824881912784
813,191,1,3,0.6802711725285827
177,192,1,1,0.771925287403104
492,192,1,2,0.8693900124463864
814,192,1,3,0.5619820931794011
1130,192,1,4,0.5241259442356898
1131,193,1,4,0.3585188029332059
815,193,1,3,0.4675757340578985
178,193,1,1,1.0
493,193,1,2,0.9605204030485899
179,194,1,1,0.9904908949745906
494,194,1,2,0.8201130171428158
1132,194,1,4,0.475428858975487
816,194,1,3,0.5095479263381807
817,195,1,3,0.6738471104642056
180,195,1,1,0.931987106511328
495,195,1,2,0.7459946049553265
1133,195,1,4,0.5860395820254886
818,196,1,3,0.7768130648161609
181,196,1,1,1.0
496,196,1,2,0.8678820759384496
1134,196,1,4,0.3510407820548755
1135,197,1,4,0.4713439480144151
182,197,1,1,0.8893738977072311
819,197,1,3,0.17286598399282474
497,197,1,2,0.984375
