form,sid,grp,ntm,loss,aic,bic,tau,pc_coef,dlp_coef,rlp_coef,mlp_coef,relt_coef
PC,2,0,1,299.92737470941614,661.8547494188323,771.0200378725618,3.6052090490103836,0.7317130379065574,,,,
dLP,2,0,1,320.741339923024,703.482679846048,812.6479682997776,8.911225045035051,,0.6484334197035179,,,
rLP,2,0,1,337.4491887847376,736.8983775694752,846.0636660232049,8.405194184139607,,,0.4561853234744371,,
mLP,2,0,1,298.21396972007443,658.4279394401489,767.5932278938785,2.7396947554349067,,,,1.2116161366888774,
RELT,2,0,1,269.5157567919609,601.0315135839219,710.1968020376515,2.479583129892338,,,,,1.087302924594586
PC + dLP,2,0,1,299.78318689414664,661.5663737882933,770.7316622420228,7.024192991291231,0.35243474637587185,0.08556555436217339,,,
PC + rLP,2,0,1,285.39996691968446,632.7999338393689,741.9652222930986,6.409539881976039,0.44745481318094493,,0.7617812080317007,,
PC + mLP,2,0,1,298.15213381113966,658.3042676222793,767.4695560760091,8.27721012352281,0.05083418015607987,,,0.33915848558689204,
PC + RELT,2,0,1,263.43100000735683,588.8620000147138,698.0272884684433,7.087693043592568,0.15960874838619818,,,,0.30933403694927225
dLP + rLP,2,0,1,308.0113878678745,678.0227757357492,787.1880641894787,1.7337226938503911,,3.6850837065435385,2.701893538734533,,
dLP + mLP,2,0,1,298.1229425986047,658.2458851972094,767.4111736509392,7.191954206616763,,-0.07103678192635571,,0.4860856272569018,
dLP + RELT,2,0,1,265.5680172578784,593.1360345157567,702.3013229694866,8.010649401574701,,-0.4740014006643615,,,0.43436350194447626
rLP + mLP,2,0,1,285.05662470780163,632.1132494156033,741.2785378693329,2.899423313047146,,,1.6003727249582251,1.2272621268243618,
rLP + RELT,2,0,1,232.6741198910878,527.3482397821756,636.5135282359053,5.54315822211755,,,1.841843123957724,,0.6683344376532456
mLP + RELT,2,0,1,266.5080063934949,595.0160127869899,704.1813012407196,6.437899998816938,,,,0.17557108839910732,0.34477868623682123
PC + dLP + rLP,2,0,1,285.1232740352432,632.2465480704864,741.411836524216,7.7969701610877555,0.33820402036978703,0.10993756232900062,0.63338295117262,,
PC + dLP + mLP,2,0,1,298.0896484463972,658.1792968927944,767.344585346524,5.148046952852822,0.062004481847735236,-0.08476138909462991,,0.598671124838759,
PC + dLP + RELT,2,0,1,249.17496024771012,560.3499204954203,669.5152089491501,8.207023860504556,0.2890165146488673,-0.9805056906096626,,,0.4092070011549013
PC + rLP + mLP,2,0,1,284.5011525633515,631.002305126703,740.1675935804327,4.179512636544514,0.30483469091704696,,1.1408382079034776,0.4817856580196376,
PC + rLP + RELT,2,0,1,225.23832503853816,512.4766500770763,621.641938530806,8.098013906483638,0.1536011445094552,,1.2189144920833632,,0.4004852517281768
PC + mLP + RELT,2,0,1,255.30828092453092,572.6165618490619,681.7818503027916,7.082485171041554,0.9565143251543998,,,-1.1556521886260929,0.4547224177850794
dLP + rLP + mLP,2,0,1,285.0490154227719,632.0980308455438,741.2633192992736,7.961560407551762,,-0.019176968719330112,0.5813670008361319,0.4535275071193322,
dLP + rLP + RELT,2,0,1,230.50380524674338,523.0076104934867,632.1728989472164,7.599402403075789,,-0.3551879374498618,1.3755715237704238,,0.5482962861247686
dLP + mLP + RELT,2,0,1,254.93021881560784,571.8604376312157,681.0257260849452,7.5968558022148285,,-0.9585347924273212,,0.3510702086469466,0.4073458188107935
